year,month,day,hour,air_temp,dew_point,wind_speed
2009,1,16,5,-23.9,-28.9,67.0
2009,1,16,6,,,
2009,1,16,7,-24.4,-29.4,67.0
2009,1,16,8,-25.0,-30.0,57.0
2009,1,16,9,-26.1,-30.6,62.0
2009,1,16,10,-27.8,-31.1,41.0
2009,1,16,11,-28.9,-32.2,46.0
2009,1,16,12,-28.9,-32.2,46.0
2009,1,16,13,-29.4,-32.8,41.0
2009,1,16,14,-29.4,-32.2,41.0
2009,1,16,15,-27.8,-31.7,31.0
2009,1,16,16,-24.4,-29.4,36.0
2009,1,16,17,-21.7,-27.8,31.0
2009,1,16,18,-18.3,-26.7,51.0
2009,1,16,19,-18.3,-25.6,77.0
2009,1,16,20,-17.8,-25.6,67.0
2009,1,16,21,-17.8,-25.6,21.0
2009,1,16,22,-17.2,-26.1,26.0
2009,1,16,23,-18.3,-26.7,26.0
2009,1,17,0,-18.9,-27.2,41.0
2009,1,17,1,-19.4,-27.2,46.0
2009,1,17,2,-20.0,-26.1,46.0
2009,1,17,3,-20.6,-25.0,41.0
2009,1,17,4,-20.0,-23.9,36.0
2009,1,17,5,-20.0,-23.3,36.0
2009,1,17,6,,,
2009,1,17,7,-17.8,-22.2,31.0
2009,1,17,8,-16.1,-21.1,41.0
2009,1,17,9,-14.4,-18.9,57.0
2009,1,17,10,-13.9,-17.8,62.0
2009,1,17,11,-13.3,-16.7,57.0
2009,1,17,12,-12.8,-15.0,57.0
2009,1,17,13,-11.0,-14.0,67.0
2009,1,17,14,-10.0,-13.0,113.0
2009,1,17,15,-9.4,-12.8,51.0
2009,1,17,16,-8.3,-12.2,77.0
2009,1,17,17,-8.0,-11.0,82.0
2009,1,17,18,-6.7,-11.1,62.0
2009,1,17,19,-6.7,-10.6,67.0
2009,1,17,20,-6.7,-10.0,57.0
2009,1,17,21,-7.0,-9.0,41.0
2009,1,17,22,-6.1,-8.9,57.0
2009,1,17,23,-6.1,-8.9,62.0
2009,1,18,0,-6.1,-8.3,46.0
2009,1,18,1,-5.6,-7.8,36.0
2009,1,18,2,-6.7,-11.7,72.0
2009,1,18,3,-8.3,-13.3,57.0
2009,1,18,4,-9.4,-15.0,62.0
2009,1,18,5,-10.0,-15.6,57.0
2009,1,18,6,,,
2009,1,18,7,-12.8,-17.2,46.0
2009,1,18,8,-13.3,-18.3,46.0
2009,1,18,9,-13.9,-18.3,46.0
2009,1,18,10,-13.3,-17.8,46.0
2009,1,18,11,-14.4,-18.3,46.0
2009,1,18,12,-15.0,-18.3,46.0
2009,1,18,13,-15.6,-18.9,51.0
2009,1,18,14,-15.6,-18.9,46.0
2009,1,18,15,-13.9,-17.8,51.0
2009,1,18,16,-13.3,-17.2,46.0
2009,1,18,17,-11.7,-16.7,51.0
2009,1,18,18,-11.1,-16.1,62.0
2009,1,18,19,-10.6,-15.6,57.0
2009,1,18,20,-9.4,-15.6,41.0
2009,1,18,21,-9.4,-15.0,31.0
2009,1,18,22,-9.4,-15.0,31.0
2009,1,18,23,-9.4,-14.4,31.0
2009,1,19,0,-10.0,-13.9,31.0
2009,1,19,1,-10.0,-13.3,26.0
2009,1,19,2,-10.6,-13.9,21.0
2009,1,19,3,-11.7,-14.4,26.0
2009,1,19,4,-12.2,-14.4,31.0
2009,1,19,5,-12.8,-14.4,31.0
2009,1,19,6,,,
2009,1,19,7,-12.2,-13.9,46.0
2009,1,19,8,-12.2,-13.9,41.0
2009,1,19,9,-12.8,-14.4,36.0
2009,1,19,10,-13.3,-14.4,41.0
2009,1,19,11,-12.8,-14.4,31.0
2009,1,19,12,-12.8,-15.0,41.0
2009,1,19,13,-13.3,-15.6,41.0
2009,1,19,14,-13.3,-15.6,36.0
2009,1,19,15,-11.7,-14.4,41.0
2009,1,19,16,-11.1,-13.9,36.0
2009,1,19,17,-10.0,-13.3,41.0
2009,1,19,18,-8.3,-12.8,57.0
2009,1,19,19,-7.8,-12.2,41.0
2009,1,19,20,-7.2,-11.7,51.0
2009,1,19,21,-6.7,-12.2,41.0
2009,1,19,22,-7.2,-12.8,41.0
2009,1,19,23,-7.8,-12.8,31.0
2009,1,20,0,-8.3,-12.8,41.0
2009,1,20,1,-8.9,-12.8,31.0
2009,1,20,2,-10.0,-13.9,21.0
2009,1,20,3,-10.0,-12.8,26.0
2009,1,20,4,-10.6,-13.3,31.0
2009,1,20,5,-11.7,-13.3,31.0
2009,1,20,6,,,
2009,1,20,7,-11.7,-13.3,51.0
2009,1,20,8,-11.7,-13.9,51.0
2009,1,20,9,-11.7,-13.9,46.0
2009,1,20,10,-12.2,-14.4,36.0
2009,1,20,11,-12.8,-15.0,26.0
2009,1,20,12,-13.3,-15.6,36.0
2009,1,20,13,-12.8,-15.0,41.0
2009,1,20,14,-12.8,-15.0,51.0
2009,1,20,15,-12.2,-15.0,51.0
2009,1,20,16,-11.1,-14.4,51.0
2009,1,20,17,-8.9,-13.3,57.0
